race_type,top_candidates,date
house,"['buchanan', 'shapiro']",2018-10-09
house,"['kelly', 'dinicola']",2018-10-09
house,"['sherrill', 'webber']",2018-10-09
house,"['lamb', 'rothfus']",2018-10-10
house,"['rossi', 'schrier']",2018-10-11
house,"['salazar', 'shalala']",2018-10-12
house,"['stauber', 'radinovich']",2018-10-15
house,"['taylor', 'luria']",2018-10-15
house,"['wallace', 'fitzpatrick']",2018-10-15
house,"['budd', 'manning']",2018-10-15
house,"['lee', 'tarkanian']",2018-10-15
house,"['horsford', 'hardy']",2018-10-15
house,"['pappas', 'edwards']",2018-10-15
house,"['kuster', 'negron']",2018-10-15
house,"['curbelo', 'mucarsel-powell']",2018-10-16
house,"['mcadams', 'love']",2018-10-16
house,"['miller', 'ojeda']",2018-10-16
house,"['collins', 'mcmurray']",2018-10-16
house,"['macarthur', 'kim']",2018-10-16
house,"['wexton', 'comstock']",2018-10-17
house,"['davids', 'yoder']",2018-10-18
house,"['crow', 'coffman']",2018-10-18
house,"['spano', 'carlson']",2018-10-18
house,"['stevens', 'epstein']",2018-10-19
house,"['bishop', 'slotkin']",2018-10-19
house,"['poliquin', 'golden']",2018-10-19
house,"['miller', 'ojeda']",2018-10-19
house,"['poliquin', 'golden']",2018-10-19
house,"['sherrill', 'webber']",2018-10-19
house,"['wild', 'nothstein']",2018-10-19
house,"['hurd', 'ortiz jones']",2018-10-19
house,"['cartwright', 'chrin']",2018-10-20
house,"['spano', 'carlson']",2018-10-20
house,"['hill', 'tucker']",2018-10-21
house,"['beutler', 'long']",2018-10-21
house,"['shalala', 'salazar']",2018-10-22
house,"['woodall', 'bourdeaux']",2018-10-22
house,"['faso', 'delgado']",2018-10-22
house,"['pappas', 'edwards']",2018-10-22
house,"['kuster', 'negron']",2018-10-22
house,"['rohrabacher', 'rouda']",2018-10-23
house,"['taylor', 'luria']",2018-10-23
house,"['cockburn', 'riggleman']",2018-10-23
house,"['gianforte', 'williams']",2018-10-23
house,"['gianforte', 'williams']",2018-10-23
house,"['bost', 'kelly']",2018-10-23
house,"['handel', 'mcbath']",2018-10-23
house,"['feehan', 'hagedorn']",2018-10-24
house,"['brindisi', 'tenney']",2018-10-24
house,"['herrell', 'small']",2018-10-24
house,"['cisneros', 'kim']",2018-10-25
house,"['mucarsel-powell', 'curbelo']",2018-10-25
house,"['wexton', 'comstock']",2018-10-25
house,"['kim', 'macarthur']",2018-10-25
house,"['van drew', 'grossman']",2018-10-25
house,"['harder', 'denham']",2018-10-26
house,"['levin', 'harkey']",2018-10-26
house,"['davis', 'londrigan']",2018-10-26
house,"['chabot', 'pureval']",2018-10-26
house,"['culberson', 'fletcher']",2018-10-26
house,"['macarthur', 'kim']",2018-10-26
house,"['mcadams', 'love']",2018-10-27
house,"['perry', 'scott']",2018-10-27
house,"['casten', 'roskam']",2018-10-27
house,"['axne', 'young']",2018-10-28
house,"['donovan', 'rose']",2018-10-28
house,"['katko', 'balter']",2018-10-28
house,"['haaland', 'arnold-jones']",2018-10-29
house,"['knight', 'hill']",2018-10-29
house,"['herrell', 'small']",2018-10-29
house,"['collins', 'mcmurray']",2018-10-29
house,"['spanberger', 'brat']",2018-10-29
house,"['hunter', 'campa-najjar']",2018-10-30
house,"['watkins', 'davis']",2018-10-30
