,race_name,race_type,state,top_candidates,pollster,poll_results,poll_leader,poll_spread,date,winner,district
273,new hampshire 1st district,house,NH,"['shea-porter', 'innis']",wmur/unh,"{'shea-porter': 46.0, 'innis': 39.0}",shea-porter,7.0,2014-07-08,<BLANK>,1
274,new hampshire 2nd district,house,NH,"['kuster', 'lambert']",wmur/unh,"{'kuster': 46.0, 'lambert': 38.0}",kuster,8.0,2014-07-08,<BLANK>,2
275,new hampshire 2nd district,house,NH,"['kuster', 'garcia']",wmur/unh,"{'kuster': 50.0, 'garcia': 36.0}",kuster,14.0,2014-07-08,<BLANK>,2
276,michigan 14th district,house,MI,"['clarke', 'lawrence']",epic-mra,"{'clarke': 39.0, 'lawrence': 28.0, 'hobbs': 20.0, 'foster': 4.0}",clarke,11.0,2014-07-17,lawrence,14
277,michigan 11th district,house,MI,"['trott', 'bentivolio']",epic-mra,"{'trott': 53.0, 'bentivolio': 31.0}",trott,22.0,2014-07-17,trott,11
278,michigan 14th district,house,MI,"['clarke', 'lawrence']",epic-mra,"{'clarke': 39.0, 'lawrence': 28.0, 'hobbs': 20.0, 'foster': 4.0}",clarke,11.0,2014-07-17,lawrence,14
279,michigan 4th district,house,MI,"['mitchell', 'moolenaar']",epic-mra,"{'mitchell': 50.0, 'moolenaar': 27.0, 'konetchy': 7.0}",mitchell,23.0,2014-07-17,moolenaar,4
280,michigan 11th district,house,MI,"['trott', 'bentivolio']",epic-mra,"{'trott': 53.0, 'bentivolio': 31.0}",trott,22.0,2014-07-17,trott,11
281,kansas 4th district,house,KS,"['pompeo', 'tiahrt']",surveyusa,"{'pompeo': 46.0, 'tiahrt': 39.0}",pompeo,7.0,2014-07-24,pompeo,4
282,arkansas 1st district,house,AR,"['crawford', 'mcpherson']",talk business poll*,"{'crawford': 48.0, 'mcpherson': 33.0}",crawford,15.0,2014-08-02,crawford,1
283,arkansas 4th district,house,AR,"['westerman', 'witt']",talk business poll*,"{'westerman': 48.0, 'witt': 34.0}",westerman,14.0,2014-08-02,westerman,4
284,arkansas 2nd district,house,AR,"['hill', 'hays']",talk business poll*,"{'hill': 44.0, 'hays': 43.0}",hill,1.0,2014-08-02,hill,2
285,utah 4th district,house,UT,"['love', 'owens']",utahpolicy/dan jones,"{'love': 44.0, 'owens': 32.0}",love,12.0,2014-08-12,love,4
286,new hampshire 1st district,house,NH,"['shea-porter', 'innis']",wmur/unh,"{'shea-porter': 44.0, 'innis': 37.0}",shea-porter,7.0,2014-08-21,<BLANK>,1
287,new hampshire 2nd district,house,NH,"['kuster', 'garcia']",wmur/unh,"{'kuster': 39.0, 'garcia': 36.0}",kuster,3.0,2014-08-21,<BLANK>,2
288,new hampshire 2nd district,house,NH,"['kuster', 'lambert']",wmur/unh,"{'kuster': 41.0, 'lambert': 35.0}",kuster,6.0,2014-08-21,<BLANK>,2
289,new hampshire 2nd district,house,NH,"['kuster', 'lawrence']",wmur/unh,"{'kuster': 40.0, 'lawrence': 32.0}",kuster,8.0,2014-08-21,<BLANK>,2
290,n.h. 1st district,house,,"['guinta', 'shea-porter']",wmur/unh,"{'guinta': 45.0, 'shea-porter': 41.0}",guinta,4.0,2014-08-21,<BLANK>,1
