,date,party,name,chamber,state,district
247,2016-11-08,d,donald norcross,house,NJ,1
248,2016-11-08,r,frank lobiondo,house,NJ,2
249,2016-11-08,r,tom macarthur,house,NJ,3
250,2016-11-08,r,chris smith,house,NJ,4
251,2016-11-08,d,josh gottheimer,house,NJ,5
252,2016-11-08,d,frank pallone,house,NJ,6
253,2016-11-08,r,leonard lance,house,NJ,7
254,2016-11-08,d,albio sires,house,NJ,8
255,2016-11-08,d,bill pascrell,house,NJ,9
256,2016-11-08,d,donald payne jr,house,NJ,10
257,2016-11-08,r,rodney frelinghuysen,house,NJ,11
258,2016-11-08,d,bonnie watson coleman,house,NJ,12
259,2016-11-08,d,michelle lujan grisham,house,NM,1
260,2016-11-08,r,steve pearce,house,NM,2
261,2016-11-08,d,ben ray lujan,house,NM,3
262,2016-11-08,r,lee zeldin,house,NY,1
263,2016-11-08,r,peter t king,house,NY,2
